ACN,Local Time Of Day,Light,Flight Phase,Make Model Name,Weather Elements / Visibility,Locale Reference
112115,1201-1800,Daylight,Initial Approach; Landing; Landing; Other Pattern,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,20.0,MRY
112366,1201-1800,Daylight,Landing; Landing; Parked; Taxi,Medium Large Transport; Low Wing; 2 Turbojet Eng,20.0,PIT
112403,1801-2400,Daylight,Landing; Landing,Any Unknown or Unlisted Aircraft Manufacturer,,X51
112461,0601-1200,Daylight,Descent; Descent,Large Transport; Low Wing; 3 Turbojet Eng,13.0,LAX
112644,0001-0600,Night,Climb; Initial Climb; Takeoff / Launch,Medium Large Transport; Low Wing; 2 Turbojet Eng,,SFO
112678,1201-1800,Daylight,Landing; Landing,Small Aircraft; High Wing; 1 Eng; Fixed Gear,8.0,PIE
112679,1201-1800,Daylight,Cruise; Cruise,Small Aircraft; High Wing; 1 Eng; Retractable Gear,30.0,LAS
112707,0601-1200,Daylight,Initial Approach,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,APA
112779,1201-1800,Daylight,Descent; Descent,Medium Large Transport; Low Wing; 2 Turbojet Eng,,MAD
112867,1801-2400,Daylight,Landing; Landing; Initial Approach,Medium Large Transport; Low Wing; 2 Turbojet Eng,,LGA
112873,1201-1800,Daylight,Cruise; Cruise,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,15.0,STP
112930,1201-1800,Daylight,Cruise; Cruise; Cruise; Cruise,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,7.0,BOS; 6B6
112965,0601-1200,Daylight,Cruise; Cruise,Military Transport,,PIH
113002,1201-1800,Daylight,Parked; Takeoff / Launch; Taxi,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,15.0,BFM
113016,1201-1800,Daylight,Cruise; Initial Approach; Other Pattern,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,5.0,BED
113040,1201-1800,Daylight,Cruise; Cruise,Large Transport; Low Wing; 3 Turbojet Eng,,SBY
113065,0601-1200,Daylight,Descent; Descent; Initial Approach,Medium Large Transport; Low Wing; 2 Turbojet Eng,5.0,LAX
113090,1201-1800,Daylight,Taxi; Parked,Large Transport; Low Wing; 3 Turbojet Eng,5.0,BOS
113132,1801-2400,Dusk,Parked; Taxi,Medium Large Transport; Low Wing; 2 Turbojet Eng,,DFW
113372,0601-1200,Daylight,Parked; Taxi,Medium Large Transport; Low Wing; 2 Turbojet Eng,6.0,LGB
113505,1201-1800,Daylight,Parked; Taxi,Medium Large Transport; Low Wing; 2 Turbojet Eng,10.0,CLE
113575,0601-1200,Daylight,Climb; Initial Climb; Takeoff / Launch,Small Transport; Low Wing; 2 Recip Eng,5.0,PHL
113702,1201-1800,Daylight,Landing; Landing,Small Aircraft; High Wing; 1 Eng; Fixed Gear,4.0,APE
113869,0601-1200,Daylight,Cruise; Cruise,Medium Large Transport; Low Wing; 2 Turbojet Eng,,YZP
114115,1201-1800,Daylight,Climb; Initial Climb; Takeoff / Launch,Medium Large Transport; Low Wing; 2 Turbojet Eng,20.0,BOS
114142,1201-1800,Daylight,Climb; Initial Climb,Medium Large Transport; Low Wing; 2 Turbojet Eng,,MDW
114230,1201-1800,Daylight,Climb; Cruise; Cruise; Descent; Descent,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,5.0,TVT
114272,0601-1200,Daylight,,Light Transport,,ZZZ
114326,1201-1800,Daylight,Cruise; Climb; Cruise; Cruise,Small Aircraft; High Wing; 1 Eng; Fixed Gear,4.0,N07
114390,1801-2400,Night,Cruise; Cruise,Large Transport; Low Wing; 3 Turbojet Eng,,RBG
114478,0601-1200,Daylight,Cruise; Cruise; Cruise; Climb,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,FDK; HGR
114557,0601-1200,Daylight,Landing; Landing,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,BAB
114559,0601-1200,Daylight,Climb,Small Transport; Low Wing; 2 Turboprop Eng,,SJC
114613,1801-2400,Daylight,Cruise; Cruise; Cruise; Other Airhold,Medium Large Transport; Low Wing; 2 Turbojet Eng,,IAD
114685,1801-2400,Dusk,Initial Approach,Medium Large Transport; Low Wing; 2 Turbojet Eng,5.0,IAD
114733,1201-1800,Dusk,Descent; Descent; Initial Approach,Widebody; Low Wing; 4 Turbojet Eng,12.0,LAX
114888,1201-1800,Dusk,Initial Climb,Medium Large Transport; Low Wing; 2 Turbojet Eng,3.0,HPN
114893,1801-2400,Night,Climb; Cruise,Medium Large Transport; Low Wing; 2 Turbojet Eng,,EWR
114962,1201-1800,Daylight,Cruise; Cruise; Cruise,Helicopter,6.0,LGA; JRB
115035,1201-1800,Daylight,Takeoff / Launch,Widebody; Low Wing; 4 Turbojet Eng,50.0,SEA
115381,1801-2400,Daylight,Taxi; Parked,Small Transport; Low Wing; 2 Turboprop Eng,7.0,HPN
115409,1801-2400,Night,Initial Approach; Landing; Landing,Medium Large Transport; Low Wing; 2 Turbojet Eng,20.0,LAX
115441,0601-1200,Daylight,Cruise; Cruise,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,AGC
115460,0601-1200,Daylight,Cruise; Cruise; Climb,Large Transport; Low Wing; 3 Turbojet Eng,,SJU
115490,1201-1800,Daylight,Parked,Medium Large Transport; Low Wing; 2 Turbojet Eng,,DTW
115503,1801-2400,Daylight,Descent; Descent; Cruise; Cruise,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,JOM
115581,1201-1800,Daylight,Cruise; Cruise,Any Unknown or Unlisted Aircraft Manufacturer,,HGR
