ACN,Local Time Of Day,Light,Flight Phase,Make Model Name,Weather Elements / Visibility,Locale Reference
1670166,1201-1800,Daylight,Taxi,B737-700,,ZZZ.Airport
1671200,1201-1800,,Descent,Citation Excel (C560XL),,MSN.Airport
1671760,0601-1200,Daylight,Final Approach,Regional Jet 200 ER/LR (CRJ200),,ZZZ.Airport
1672578,0601-1200,Dawn,Final Approach,EMB ERJ 145 ER/LR,,PHL.Airport
1672874,1801-2400,Night,Initial Climb,B757-300,,HNL.Airport
1672875,0601-1200,Daylight,,Any Unknown or Unlisted Aircraft Manufacturer,,ZDC.ARTCC
1673071,1801-2400,Night,Final Approach,Large Transport; Low Wing; 2 Turbojet Eng,,ZZZ.Airport
1673564,1201-1800,Daylight,Final Approach,Cessna Citation Sovereign (C680),,CAE.Airport
1673691,,Night,Final Approach,B737 Undifferentiated or Other Model,,SAN.Airport
1674448,1201-1800,,Final Approach,B777 Undifferentiated or Other Model,,ZBAA.ARTCC
1674730,1801-2400,,Descent,Light Transport; Low Wing; 2 Turbojet Eng,,ASE.Airport
1675526,1201-1800,,Initial Approach,Cessna 402/402C/B379 Businessliner/Utiliner,,BOS.Airport
1676891,1801-2400,Daylight,Landing,Small Aircraft,Fog; 10,OAR.Airport
1676919,1201-1800,Daylight,Landing,Piper Aircraft Corp Undifferentiated or Other Model,10,VLL.Airport
1676949,1801-2400,,Climb; Initial Climb,Cessna Citation Undifferentiated or Other Model,,ZOA.ARTCC
1677943,1201-1800,Daylight,Final Approach,B737 Next Generation Undifferentiated,,ZZZ.Airport
1677956,1801-2400,Night,Taxi,B737 Next Generation Undifferentiated,,FLL.Airport
1678207,1201-1800,Daylight,Cruise,Regional Jet 200 ER/LR (CRJ200),,ZAU.ARTCC
1678375,0601-1200,Daylight,Other Traffic Pattern,Skyhawk 172/Cutlass 172,,ZZZ.Airport
1678806,1801-2400,,,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.TRACON
1679113,0001-0600,Dusk,Taxi,PA-32 Cherokee Six/Lance/Saratoga/6X,,VNY.Airport
1680279,1201-1800,Daylight,Climb,B737 Next Generation Undifferentiated,,BUR.Airport
1680292,1201-1800,Daylight,Descent,B737-700,,ZZZ.ARTCC
1680466,1201-1800,,Taxi,Citationjet (C525/C526) - CJ I / II / III / IV,Rain,CHS.Airport
1680706,0601-1200,,Taxi,A319,,ORD.Airport
1680783,0601-1200,Daylight,Takeoff / Launch,Cessna Citation Undifferentiated or Other Model,,BTL.Airport
1680935,0601-1200,Daylight,Takeoff / Launch,DA20-A1 Katana,10,ZZZ.Airport
1680951,0001-0600,Night,Descent,DA40 Diamond Star,,BOI.TRACON
1681307,1201-1800,Dawn,Initial Climb,EMB ERJ 170/175 ER/LR,,S46.TRACON
1681336,1201-1800,Daylight,Takeoff / Launch,Bonanza 33,,CID.Airport
1681965,1801-2400,Daylight,Landing,Cessna Stationair/Turbo Stationair 7/8,10,BET.Airport
1682678,1801-2400,,Descent,Super King Air 350,,ZAN.ARTCC
1683042,1801-2400,,Initial Approach,B777 Undifferentiated or Other Model,Thunderstorm,RJAA.Airport
1683238,0601-1200,Daylight,Takeoff / Launch,Small Transport,,AFW.Tower
1684897,1201-1800,,Taxi,Regional Jet 200 ER/LR (CRJ200),,BTV.Airport
1685004,0001-0600,,Descent,A330,,LAS.Airport
1685304,0601-1200,,Landing,Small Aircraft,,FCM.Airport
1685334,1801-2400,,Initial Climb,A321,,ZZZ.Airport
1685363,0001-0600,Daylight,Taxi,Commercial Fixed Wing,,LGA.Airport
1685871,1801-2400,Night,Taxi,Small Aircraft,10,BGR.Airport
1686306,1201-1800,Daylight,Takeoff / Launch,Light Transport,50,ANC.Airport
1686399,,,Landing,B777 Undifferentiated or Other Model,,VIDP.Airport
1686408,,,Parked,B767 Undifferentiated or Other Model,,
1687429,1201-1800,,Initial Approach,Heavy Transport,,DFW.Airport
1688364,1801-2400,Daylight,Final Approach,Gulfstream IV / G350 / G450,,S46.TRACON
1689295,0601-1200,,Descent,Small Transport,,FAI.TRACON
1689327,1201-1800,Daylight,Taxi,SR22,,FLL.Airport
1689894,1801-2400,Daylight,Final Approach,Falcon 7X,10,LFPB.Tower
1690672,1201-1800,Daylight,Cruise,B757 Undifferentiated or Other Model,,ZMP.ARTCC
1691423,0001-0600,,Taxi,Commercial Fixed Wing,,ZSPD.Airport
1692679,0601-1200,,Final Approach,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,CGZ.Airport
1692689,0001-0600,,Initial Approach,PC-12,,NCT.TRACON
1694426,0601-1200,,,EMB ERJ 190/195 ER/LR,,JFK.Tower
1694805,1201-1800,Daylight,Cruise,Medium Transport; Low Wing; 2 Turbojet Eng,,ZJX.ARTCC
1695765,0601-1200,,Initial Approach,Light Transport,,ELM.Airport
1696101,0601-1200,Night,Final Approach,Commercial Fixed Wing,,LGA.Airport
1696213,0601-1200,Daylight,Takeoff / Launch,EMB ERJ 145 ER/LR,,EWR.Airport
1696437,1201-1800,Daylight,Initial Approach,Super King Air 300,Cloudy; Rain; 5,ZZZ.Airport
1696864,0001-0600,,Initial Climb,Caravan Undifferentiated,,HCF.TRACON
1696975,1801-2400,Night,Climb,B767-300 and 300 ER,,
1697604,0601-1200,Night,Takeoff / Launch,Commercial Fixed Wing,,SBP.Airport
1697609,0601-1200,Daylight,Descent,Regional Jet 900 (CRJ900),Haze / Smoke,ZZZ.Airport
1697649,0601-1200,,Climb,Commercial Fixed Wing,Thunderstorm,ZNY.ARTCC
1697664,1201-1800,,Climb,A320,,ZHU.ARTCC
1697850,1801-2400,,Cruise,Light Transport,,SCT.TRACON
1697944,1201-1800,Daylight,Landing,B737 Next Generation Undifferentiated,,SFO.Airport
1698516,,,Taxi,B777 Undifferentiated or Other Model,,EWR.Airport
1699257,1801-2400,Night,Final Approach,Large Transport; Low Wing; 2 Turbojet Eng,,SFO.Airport
1699487,1201-1800,Daylight,Final Approach,EMB ERJ 170/175 ER/LR,,CLT.TRACON
1699491,0001-0600,Daylight,,Any Unknown or Unlisted Aircraft Manufacturer,,PAO.Tower
1699505,1801-2400,Daylight,Final Approach,Small Aircraft,,VNY.Tower
1699852,0601-1200,,Final Approach; Initial Approach,,,LGA.Airport
1701442,0601-1200,Daylight,Other Touch and Go,Bellanca Aircraft Corp Undifferentiated or Other Model,10,ZZZ.Airport
1701529,0001-0600,,Climb,Commercial Fixed Wing,,JFK.Airport
1701531,1201-1800,,Cruise,No Aircraft,,ZNY.ARTCC
1701784,,,Final Approach,A320,,ZZZ.Airport
1701818,1201-1800,Daylight,Final Approach,Commercial Fixed Wing,,LBB.Airport
1702790,1201-1800,,Initial Approach,Large Transport,Thunderstorm,MMFR.ARTCC
1702836,1801-2400,,Taxi,Commercial Fixed Wing,,LGA.Airport
1702924,1801-2400,Night,Initial Climb,Commercial Fixed Wing,,P80.TRACON
1702939,1801-2400,Night,Taxi,Commercial Fixed Wing,2,LGA.Airport
1703420,0001-0600,,Climb; Initial Climb,Small Aircraft,,GEG.TRACON
1703444,1201-1800,Daylight,Final Approach,Small Aircraft,,BED.Tower
1703820,1801-2400,Night,Taxi,Commercial Fixed Wing,,SEA.Airport
1703877,0601-1200,,Initial Climb,B777 Undifferentiated or Other Model,,N90.TRACON
1705206,1801-2400,,Descent,Commercial Fixed Wing,,A90.TRACON
1705454,0601-1200,,Initial Approach,Any Unknown or Unlisted Aircraft Manufacturer,,JFK.Airport
1707753,0601-1200,,Initial Approach,EMB ERJ 170/175 ER/LR,,LGA.Airport
1708191,0001-0600,,Initial Climb,Small Aircraft; High Wing; 1 Eng; Retractable Gear,,S46.TRACON
1709339,0601-1200,,Initial Approach,Any Unknown or Unlisted Aircraft Manufacturer,,TEB.Airport
1710310,0601-1200,,Takeoff / Launch; Initial Climb,Widebody; Low Wing; 2 Turbojet Eng,,EWR.Airport
1711286,0601-1200,,Descent,Commercial Fixed Wing,,LGA.Airport
1711754,0601-1200,Daylight,Taxi,B737-400,,ZZZ.Airport
1711760,1801-2400,Night,Initial Approach,B737-800,Icing,ZZZ.Tower
1712188,1201-1800,,Landing,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,Rain; 10,SQL.Airport
1712249,0601-1200,Daylight,Initial Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,20,DSM.Tower
1712592,1801-2400,,Final Approach,Commercial Fixed Wing,Cloudy,D21.TRACON
1713057,1201-1800,Dusk,Takeoff / Launch,Bonanza 33,10,ZZZ.Airport
1713407,0601-1200,,Initial Climb,B737 Next Generation Undifferentiated,,JAC.Airport
1713434,0601-1200,,Final Approach,Commercial Fixed Wing,,LGA.Airport
1713628,0601-1200,,Climb,EMB ERJ 145 ER/LR,,ZZZ.Airport
1713953,0001-0600,,Landing,A319,,ZZZ.Tower
1713990,1201-1800,Daylight,Final Approach,Commercial Fixed Wing,3,NCT.TRACON
1714577,0001-0600,,Cruise,B737-800,Windshear,ZAN.ARTCC
1714856,1201-1800,Daylight,Final Approach,Sail Plane,,SBA.Airport
1716685,0601-1200,Daylight,Initial Approach,B737-700,10,RSW.TRACON
1716977,0601-1200,Night,Final Approach,B737-800,,SJC.Tower
1718444,0601-1200,,Taxi,Heavy Transport,,LAX.Airport
1718453,,,Climb,Commercial Fixed Wing,,VIDF.ARTCC
1718808,1801-2400,,Initial Approach,Commercial Fixed Wing,,CZUL.Airport
1719234,0001-0600,,Cruise,B737-900,,ZNY.ARTCC
1719737,0001-0600,Night,Parked,Commercial Fixed Wing,0.5,RIC.Airport
1721357,0001-0600,Daylight,Descent,Medium Transport; Low Wing; 2 Turbojet Eng,,HOU.Airport
1724129,0001-0600,,Initial Approach,Commercial Fixed Wing,,RFD.TRACON
1724475,1201-1800,Daylight,Taxi,B737 Undifferentiated or Other Model,,FLL.Airport
1726393,0001-0600,Daylight,Final Approach,SR22,,RNT.Tower
1728384,1801-2400,Night,Cruise,Luscombe Model 8/Luscombe 50,,BFI.Airport
1728742,1201-1800,Daylight,Taxi,Small Transport,Snow,SUX.Airport
1729310,0601-1200,Daylight,Initial Approach,Gulfstream G650,100,S56.TRACON
1729955,0601-1200,Daylight,Taxi,Small Aircraft; High Wing; 1 Eng; Fixed Gear,10,BOW.Airport
1730097,0001-0600,,Descent,B737 Next Generation Undifferentiated,,SAN.Airport
1731579,0001-0600,,Taxi,Commercial Fixed Wing,,IAH.Airport
1731956,1201-1800,Dawn,Initial Approach,Learjet 60,,STP.Airport
1734768,0601-1200,Daylight,Landing,Skyhawk 172/Cutlass 172,,ZZZ.Airport
1736678,,,Final Approach,Commercial Fixed Wing,,CYYZ.Airport
1737073,0001-0600,,Descent,Heavy Transport,Fog,ATL.Airport
1737081,1801-2400,,Initial Climb,Commercial Fixed Wing,,ZZZ.Tower
1737093,1801-2400,,,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.ARTCC
1738337,,,Taxi,SR20,,ZZZ.Airport
1738797,0601-1200,Daylight,Descent,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,ISM.Airport
1740410,1201-1800,Daylight,Cruise,Skyhawk 172/Cutlass 172,Turbulence; Rain; Windshear,DAB.TRACON
1740805,1201-1800,,Final Approach,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.TRACON
1740807,0001-0600,Daylight,Descent,TBM 700/TBM 850,,ZLC.ARTCC
1741119,1801-2400,,Initial Climb,B737 Undifferentiated or Other Model,,SCT.TRACON
1741253,0601-1200,,Cruise,Piper Twin Piston Undifferentiated or Other Model,,F11.TRACON
1742557,1801-2400,,Initial Approach,EMB ERJ 170/175 ER/LR,,D01.TRACON
1742861,1201-1800,,Descent,Commercial Fixed Wing,,ZZZ.TRACON
1743084,0001-0600,,Descent,Commercial Fixed Wing,,ZZZ.ARTCC
1743342,1201-1800,,Descent,Citationjet (C525/C526) - CJ I / II / III / IV,,AUS.TRACON
1743683,0601-1200,,Descent,B747-400,,ZAN.ARTCC
1743920,1801-2400,Night,Initial Approach,Commercial Fixed Wing,,PHL.Airport
1744487,1801-2400,,Cruise,EMB ERJ 170/175 ER/LR,,S56.TRACON
1744622,1201-1800,,Descent,Small Aircraft,,EUG.TRACON
1745073,0001-0600,Night,Takeoff / Launch,Light Transport; High Wing; 2 Turboprop Eng,10,ZZZ.Airport
1745671,1801-2400,Night,Initial Climb,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,NCT.TRACON
1745673,0001-0600,,Final Approach,Cessna Citation Mustang (C510),,GTF.Tower
1745747,0601-1200,Daylight,Initial Approach,EMB ERJ 170/175 ER/LR,,D01.TRACON
1746189,1201-1800,Daylight,Initial Approach,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,10,ZZZ.Airport
1746354,1201-1800,Daylight,Initial Climb,Any Unknown or Unlisted Aircraft Manufacturer,Turbulence; 10,SLC.Tower
1746493,0001-0600,Daylight,Initial Climb,Small Aircraft,10,ILG.Airport
1746530,1801-2400,,Cruise,Small Aircraft,,F11.TRACON
1746532,1801-2400,,Cruise,Medium Transport,Thunderstorm; Turbulence,ZMA.ARTCC
1746621,,Daylight,Cruise,Skylane 182/RG Turbo Skylane/RG,Rain; 8,ZZZ.ARTCC
1746744,0001-0600,Daylight,Takeoff / Launch,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.Tower
1746834,1201-1800,Daylight,Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,ZZZ.ARTCC
1746905,1201-1800,,Cruise,Small Aircraft,,A11.TRACON
1747194,,Daylight,Cruise,EMB-505 / Phenom 300,,ZZZ.ARTCC
1748516,1201-1800,,Cruise,Commercial Fixed Wing,,ZZZ.ARTCC
1748648,0001-0600,,Taxi,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,ZZZ.Tower
1748726,1201-1800,,Descent,Commercial Fixed Wing,,ZZZ.ARTCC
1748782,0601-1200,,Climb,Commercial Fixed Wing,,SEA.Airport
1748889,1801-2400,,Climb,Commercial Fixed Wing,,ZZZ.TRACON
1749323,1801-2400,Daylight,Initial Approach,Commercial Fixed Wing,,DEN.Airport
1749891,1201-1800,,Parked,EMB ERJ 170/175 ER/LR,,
1749983,0601-1200,,Initial Climb,Small Aircraft,,ZZZ.Tower
1750031,1201-1800,,Initial Approach,Medium Transport,,ZZZ.Tower
1750396,0001-0600,Night,Taxi,Commercial Fixed Wing,5,ZZZZ.Airport
1751010,1801-2400,Daylight,Descent,Small Transport; Low Wing; 2 Turboprop Eng,,TJIG.Airport
1751220,0601-1200,Daylight,Taxi,Commercial Fixed Wing,,RNO.Airport
1751257,1801-2400,Night,Descent,Commercial Fixed Wing,,ZJX.ARTCC
1751455,1201-1800,Daylight,Cruise,Small Aircraft,10,ZZZ.TRACON
1751536,1801-2400,Daylight,Taxi,Light Transport; Low Wing; 2 Turboprop Eng,,JNU.Tower
1751616,1201-1800,Daylight,Climb; Takeoff / Launch,Small Transport; Low Wing; 2 Turbojet Eng,,ASE.Airport
1752035,0601-1200,,Descent,Commercial Fixed Wing,,ZZZ.Airport
1752085,1201-1800,Daylight,Cruise,Boeing Company Undifferentiated or Other Model,,ZAB.ARTCC
1753121,1801-2400,Dusk,Landing,Any Unknown or Unlisted Aircraft Manufacturer,,DIK.Airport
1753552,1801-2400,Daylight,Initial Approach,Light Transport; Low Wing; 2 Turbojet Eng,Clear; 10,ZZZ.TRACON
1753910,0601-1200,Daylight,Initial Climb,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,30,ZZZ.ARTCC
1754140,1201-1800,,Final Approach,Commercial Fixed Wing,,ZZZ.Tower
1754142,1801-2400,,Taxi,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.Airport
1754761,0001-0600,,,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.Tower
1754951,1201-1800,,Descent,Caravan Undifferentiated,,HCF.TRACON
1755220,1201-1800,Daylight,Descent,Citation V/Ultra/Encore (C560),,ZZZ.Airport
1755611,0001-0600,Dawn,Initial Approach,Commercial Fixed Wing,,ZZZ.Airport
1755784,0001-0600,,Initial Climb,S-70/UH-60 Blackhawk/Seahawk/Pavehawk/Knighthawk,,HCF.TRACON
1755915,1801-2400,Dusk,Taxi,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,10,DPA.Airport
1755961,1201-1800,,Taxi,Widebody; Low Wing; 2 Turbojet Eng,,LAX.Airport
1756074,1201-1800,Daylight,Taxi,Small Aircraft,10,ZZZ.Airport
1756520,1801-2400,Night,Final Approach,Medium Transport; Low Wing; 2 Turbojet Eng,,ZZZ.TRACON
1756524,0001-0600,,Cruise,Commercial Fixed Wing,,ZZZ.ARTCC
1756991,1801-2400,,Initial Approach,Commercial Fixed Wing,Microburst,COS.Tower
1757736,0001-0600,,Taxi,Commercial Fixed Wing,,ZZZ.Airport
1758491,0001-0600,,Climb,Widebody; Low Wing; 2 Turbojet Eng,Haze / Smoke,ONT.Airport
1758819,0601-1200,Daylight,Climb,Light Transport; Low Wing; 2 Turbojet Eng,,FTW.Tower
1758904,0001-0600,Daylight,Cruise,Small Transport,Icing; Thunderstorm; Turbulence,ZZZ.ARTCC
1759247,0601-1200,,Other Go Around,Commercial Fixed Wing,Fog; Haze / Smoke; 3,RIV.Airport
1759698,0601-1200,,Takeoff / Launch,EMB ERJ 170/175 ER/LR,,SNA.Tower
1759781,0001-0600,,Descent,Commercial Fixed Wing,,ZZZ.Tower
1759785,1201-1800,,Final Approach,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,ZZZ.ARTCC
1759873,1201-1800,,Descent,Commercial Fixed Wing,Thunderstorm,MEM.TRACON
1760327,1201-1800,,Descent,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,Cloudy; Haze / Smoke,JCF.TRACON
1761037,0601-1200,Daylight,Initial Approach,Commercial Fixed Wing,,SBA.Airport
1761190,1801-2400,Dusk,Initial Climb,Cheetah; Tiger; Traveler AA5 Series,,ZZZ.Airport
1761298,1201-1800,,Final Approach,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,C90.TRACON
1761424,0001-0600,,Climb,B767-200,,ZZZ.TRACON
1762322,1201-1800,Daylight,Descent,Cheetah; Tiger; Traveler AA5 Series,,ZZZ.Airport
1762928,0601-1200,,Initial Climb,EMB ERJ 170/175 ER/LR,Rain,XNA.Airport
1763018,1201-1800,Daylight,Cruise,Amateur/Home Built/Experimental,,PWM.TRACON
1763192,1801-2400,,,No Aircraft,,ZZZ.ARTCC
1763194,1801-2400,,Cruise,Large Transport,,ZZZ.Tower
1763225,0001-0600,,Initial Climb,Commercial Fixed Wing,,D01.TRACON
1763584,1201-1800,Daylight,Descent,Commercial Fixed Wing,,ZZZ.TRACON
1763798,1201-1800,Daylight,Landing,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,,GIF.Airport
1764131,1201-1800,Daylight,Initial Approach,Gulfstream G650,,ZZZ.TRACON
1764205,1201-1800,Daylight,Climb,Large Transport; Low Wing; 3 Turbojet Eng,30,I90.TRACON
1764220,0601-1200,,Final Approach,Small Transport; Low Wing; 2 Turbojet Eng,,ZZZ.TRACON
1764412,1201-1800,,Descent,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,,ZZZ.TRACON
1764480,,,Initial Approach,Commercial Fixed Wing,,RKSI.Airport
1764752,0601-1200,Daylight,Taxi,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,10,ZZZ.Airport
1765081,0601-1200,Dawn,Landing,Commercial Fixed Wing,,ZZZ.Airport
1765375,1801-2400,Night,Taxi,Commercial Fixed Wing,,BWI.Airport
1765604,1801-2400,Daylight,Descent,Small Aircraft,,ZZZ.Tower
1765995,1801-2400,,Descent,EMB ERJ 170/175 ER/LR,,SEA.Airport
1766139,1801-2400,Night,Descent,Small Aircraft,,N85.Airport
1766783,1801-2400,,Taxi,Commercial Fixed Wing,,ZZZ.Airport
1767155,1201-1800,,Descent,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,,ZZZ.ARTCC
1767276,0001-0600,,Cruise,B737-800,,ZMA.ARTCC
1767758,1801-2400,,Final Approach,Small Transport; Low Wing; 2 Turbojet Eng,,ZZZ.TRACON
1767761,1201-1800,,Takeoff / Launch,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,ZZZ.Tower
1767834,1801-2400,Night,Taxi,Commercial Fixed Wing,Fog,MKE.Airport
1767875,0601-1200,,Final Approach,Small Transport,,STL.Airport
1767992,1201-1800,Daylight,Final Approach,TBM 700/TBM 850,,I90.TRACON
1767995,1201-1800,,Cruise,Commercial Fixed Wing,,SCT.TRACON
1768270,1801-2400,Night,Taxi,Any Unknown or Unlisted Aircraft Manufacturer,,TUS.Airport
1768350,0601-1200,Daylight,Cruise,Small Aircraft,,2V6.Airport
1768645,1201-1800,Daylight,Taxi,Commercial Fixed Wing,,FLL.Airport
1768830,0001-0600,,,Boeing Company Undifferentiated or Other Model,,ZZZ.TRACON
1768832,0001-0600,,,No Aircraft,,ZZZ.ARTCC
1769120,1801-2400,,Landing,Small Aircraft,,ZZZ.Tower
1769998,1201-1800,,Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,ZZZ.Tower
1770762,0601-1200,Night,Final Approach,Small Transport; Low Wing; 2 Turbojet Eng,,ZDV.ARTCC
1771134,1201-1800,,Initial Approach,B737-800,,ZZZ.TRACON
1771639,1201-1800,,Takeoff / Launch,Commercial Fixed Wing,,MSO.Airport
1772192,0601-1200,,Cruise,Any Unknown or Unlisted Aircraft Manufacturer,,ZZZ.ARTCC
1772597,1801-2400,Daylight,Landing,Cessna Aircraft Undifferentiated or Other Model,,ZZZ.Tower
1772902,1801-2400,Night,Final Approach,EMB ERJ 170/175 ER/LR,,ZZZ.Airport
1773173,,,Final Approach,Commercial Fixed Wing,,MMPR.Airport
1773882,0601-1200,,Takeoff / Launch,Commercial Fixed Wing,,ZZZ.Airport
1774182,1801-2400,Night,Landing,Small Aircraft,25,BED.Airport
1774427,0601-1200,Daylight,Descent,Commercial Fixed Wing,,ZJX.ARTCC
1774558,0001-0600,,Final Approach,A319,,NCT.TRACON
1774655,1801-2400,Daylight,Landing,Regional Jet 200 ER/LR (CRJ200),Windshear,ZZZ.Airport
1774673,0601-1200,,Initial Approach,Commercial Fixed Wing,,ZZZ.TRACON
1774703,,Night,Initial Approach; Landing,Small Aircraft,,JLN.Airport
1774722,0601-1200,Daylight,Climb,Citationjet (C525/C526) - CJ I / II / III / IV,Thunderstorm; Turbulence; Windshear,ZMA.ARTCC
1774741,1801-2400,,Takeoff / Launch,Commercial Fixed Wing,,ZZZ.Airport
1774923,0601-1200,Daylight,Climb,Commercial Fixed Wing,,ZZZ.Airport
1775115,,Daylight,Cruise,DA20 Undifferentiated,,APC.Airport
1775153,1801-2400,,Cruise,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,ZZZ.TRACON
1775565,1801-2400,,Cruise; Descent,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,ZZZ.ARTCC
1776144,1201-1800,Night,Final Approach,Helicopter,10,ZZZ.Airport
1776382,1801-2400,,Descent,Small Transport,,ZZZ.ARTCC
1776386,1201-1800,,Final Approach,Small Aircraft,,ZZZ.ARTCC
1776560,1201-1800,,Takeoff / Launch,A321,,ZZZ.Airport
1776616,0001-0600,,Final Approach,Commercial Fixed Wing,,VVNB.Airport
1777460,0001-0600,,Takeoff / Launch,Commercial Fixed Wing,Wind,ZZZ.Airport
1777468,1801-2400,Dusk,Final Approach; Landing,Commercial Fixed Wing,,DEN.Tower
1777548,1201-1800,,,Commercial Fixed Wing,,ZZZ.Tower
1777563,0001-0600,,Descent,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,ZZZ.ARTCC
1778045,1201-1800,Daylight,Initial Approach,Small Aircraft,20,ZZZ.Airport
1778482,1801-2400,,Descent; Initial Approach,Medium Transport; Low Wing; 2 Turbojet Eng,,IAH.Airport
1778510,0601-1200,Daylight,Initial Approach; Final Approach,Airbus 318/319/320/321 Undifferentiated,,SNA.Airport
1778675,,,Final Approach,Commercial Fixed Wing,,DEN.Airport
1779080,1201-1800,,Initial Approach,Commercial Fixed Wing,,ZZZ.ARTCC
1779266,1801-2400,Night,Climb,Medium Transport,Turbulence; Rain,ZZZ.TRACON
1779640,,,Other Parked pre-departure,Commercial Fixed Wing,,
1779835,1201-1800,Daylight,Initial Approach,Commercial Fixed Wing,,DEN.Airport
1779908,1201-1800,,Taxi,Commercial Fixed Wing,,MMUN.Airport
1780058,1201-1800,,Descent; Initial Approach,Small Transport; Low Wing; 2 Turbojet Eng,Cloudy,S56.TRACON
1780282,1801-2400,Night,Taxi,Commercial Fixed Wing,,ZZZ.Airport
1780376,0001-0600,Dusk,Initial Approach,Commercial Fixed Wing,,ASE.TRACON
1780938,0601-1200,,Final Approach,Commercial Fixed Wing,Cloudy,LAX.Tower
1781142,1201-1800,Daylight,Cruise,Small Transport,,ZAU.ARTCC
1782330,0601-1200,Daylight,Cruise,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,VNY.Airport
1782514,1801-2400,,Cruise,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,ZZZ.ARTCC
1782522,1201-1800,Daylight,Cruise,Commercial Fixed Wing,,ZZZ.ARTCC
1782726,1801-2400,,Descent,Challenger CL600,,ASE.TRACON
1782749,1201-1800,,Other ALL,Commercial Fixed Wing,,ZZZ.Airport
1782848,1201-1800,,Final Approach,Commercial Fixed Wing,,ZZZ.TRACON
1783828,0601-1200,,Final Approach,Medium Transport; High Wing; 2 Turboprop Eng,,ZZZ.Airport
1783930,1801-2400,,Initial Approach,Medium Transport,,S46.TRACON
1784245,1201-1800,Daylight,Descent,EMB ERJ 170/175 ER/LR,,ZZZZ.ARTCC
1785324,0001-0600,,,No Aircraft,,ZZZ.Airport
1786175,0001-0600,,Initial Approach; Descent,Small Transport,Icing; Snow; Turbulence,ZDV.ARTCC
1787050,1801-2400,Daylight,Initial Approach,EMB ERJ 145 ER/LR,,ZZZ.Airport
1787266,0001-0600,,Final Approach,Regional Jet 900 (CRJ900),,MSP.Tower
1789388,,,Cruise,Commercial Fixed Wing,,RJJJ.ARTCC
1790751,1801-2400,,,No Aircraft,,ZZZ.ARTCC
1790756,1201-1800,,Cruise,Light Transport; Low Wing; 2 Turbojet Eng,,ZZZ.ARTCC
1790780,1801-2400,,Cruise,Cessna 310/T310C,,ZME.ARTCC
1790790,0601-1200,,Initial Approach,Light Transport; Low Wing; 2 Turbojet Eng,,ASE.Tower
1790791,1801-2400,,Final Approach,Commercial Fixed Wing,,ZZZ.TRACON
1791228,1201-1800,,Cruise,Commercial Fixed Wing,,ZAN.ARTCC
1791803,1201-1800,,Climb,Commercial Fixed Wing,,L30.TRACON
1791820,1201-1800,Daylight,Taxi,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,CNO.Tower
1792462,1801-2400,Dusk,Cruise,Regional Jet 700 ER/LR (CRJ700),,ZZZ.ARTCC
1793096,1201-1800,Daylight,Descent,Small Aircraft,,SLC.Airport
1793101,0601-1200,,Cruise,Commercial Fixed Wing,,ZZZ.ARTCC
1793152,0601-1200,,Descent,Commercial Fixed Wing,,
1793301,0601-1200,Daylight,Final Approach,Small Transport; Low Wing; 2 Turboprop Eng,,ZZZ.Tower
1793302,1201-1800,,Cruise,Small Aircraft,,ZAB.ARTCC
1793411,1201-1800,,Initial Approach,Commercial Fixed Wing,,ZLA.ARTCC
1793604,0601-1200,,Descent,Regional Jet 200 ER/LR (CRJ200),,ZZZ.ARTCC
1793954,1201-1800,,Descent,Commercial Fixed Wing,,DFW.Airport
1794137,0601-1200,,Initial Climb,Medium Transport,,L30.TRACON
1794507,0601-1200,Daylight,Final Approach,Skyhawk 172/Cutlass 172,,ZZZ.Airport
